address,latlng,name,storeType
台中市大里區塗城路657號1樓,"24.088680, 120.701618",大里_塗城(特約服務中心)3,特約
台中市霧峰區中正路920號,"24.0645946,120.69872069999997",霧峰_中正(特約服務中心)3,特約
台中市烏日區中山路一段328號,"24.1088105,120.64160429999993",烏日_中山(特約服務中心),特約
台中市東勢區豐勢路524號,"24.258916,120.8276098",東勢_豐勢(特約服務中心)1,特約
台中市后里區三豐路三段1142號,"24.3086993,120.72247289999996",后里_三豐(特約服務中心),特約
台中市潭子區勝利路276號,"24.2125036,120.7005438",潭子勝利(服務中心),直營
台中市潭子區雅潭路一段1之2號,"24.2165729,120.69763420000004",潭子_雅潭(特約服務中心)2,特約
台中市豐原區中正路254號,"24.251864,120.716497",豐原中正(服務中心),直營
台中市豐原區南陽路349號,"24.2461163,120.725625",豐原南陽(服務中心),直營
台中市豐原區中正路563號1樓,"24.2501982,120.7085371",豐原_中正(特約服務中心)2,特約
台中市豐原區向陽路282號1樓,"24.2513523,120.727971",豐原_向陽二(特約服務中心),特約
台中市大雅區中清路四段10號,"24.2259932,120.6451687",大雅中清(服務中心),直營
台中市大雅區民生路一段102-3號,"24.2267123,120.64854100000002",大雅_民生(特約服務中心)2,特約
台中市沙鹿區中山路461號,"24.2438412,120.5616233",台中沙鹿(服務中心),直營
台中市沙鹿區中山路314號,"24.2394297,120.56037000000003",沙鹿_中山(特約服務中心),特約
台中市龍井區新興路45-1號1樓,"24.1811856,120.5875686",東海新興(服務中心),直營
台中市龍井區台灣大道五段3巷6弄1號1樓,"24.1826117,120.5929294",台中_東海(特約服務中心)3,特約
台中市大甲區蔣公路132號,"24.3460571,120.62274830000001",大甲_蔣公(特約服務中心),特約
台中市清水區中山路279號,"24.26993,120.57558900000004",清水中山(服務中心),直營
彰化縣彰化市光復路173號1樓,"24.08095,120.53929500000004",彰化光復(服務中心),直營
彰化縣彰化市曉陽路151號,"24.072547,120.5384957",彰化曉陽(服務中心),直營
彰化縣彰化市彰美路一段161號,"24.0885184,120.5381688",彰化彰美(服務中心),直營
彰化縣鹿港鎮中山路187號,"24.0542855,120.4349961",鹿港中山(服務中心),直營
彰化縣鹿港鎮民權路10號1樓,"24.05886,120.43889420000005",鹿港_民權(特約服務中心)4,特約
彰化縣和美鎮彰美路六段56之4號,"24.1134142,120.4974544",彰化_和美(特約服務中心),特約
彰化縣員林市中山路一段717號,"23.956374,120.570713",員林中山(服務中心),直營
彰化縣員林市南昌路3號,"23.95461,120.57415900000001",員林_南昌(特約服務中心),特約
