address,lat,lng,name,storeType
屏東縣萬丹鄉萬丹路1段178號,120.4899063,22.587923,屏東萬丹一直營服務中心,直營
高雄市美濃區中正路1段51號1樓,120.5419659,22.900073,美濃中正,特約
高雄市旗山區延平一路572號,120.480869,22.8875109,旗山延平,特約
高雄市旗山區延平一路686號1樓,120.4830079,22.8841784,旗山延平II,特約
高雄市阿蓮區忠孝路199號,120.3276394,22.8785471,阿蓮忠孝,特約
高雄市湖內區保生路159號1樓,120.223059,22.906946,湖內保生,特約
高雄市茄萣區仁愛路3段150號1樓,120.1839272,22.9022204,茄萣仁愛,特約
高雄市路竹區中山路632號1樓,120.2601965,22.8586978,路竹中山II,特約
高雄市燕巢區西燕里中民路674之1號,120.3589355,22.7931484,燕巢中民,特約
高雄市岡山區岡山路396號1樓,120.295804,22.7950157,岡山岡山,特約
高雄市岡山區壽天路81號1樓,120.2920519,22.7958777,岡山壽天,特約
高雄市岡山區前峰路99號1樓,120.2860442,22.7963929,岡山前峰,特約
高雄市橋頭區成功路222號1樓,120.310803,22.7566434,橋頭成功,特約
高雄市橋頭區隆豐路209號1樓,120.3050883,22.7538186,橋頭隆豐,特約
高雄市大社區中山路415號1樓,120.3524549,22.7313348,大社中山,特約
高雄市大社區中山路208號,120.3476805,22.7319379,大社中山II,特約
高雄市梓官區中崙路233.235號,120.2690503,22.7610543,梓官中崙,特約
高雄市梓官區和平路320號,120.2626246,22.7587436,梓官和平,特約
高雄市楠梓區建楠路144號,120.3246903,22.7272889,楠梓建楠,特約
高雄市梓官區赤崁南路96之2號1樓,120.2617772,22.7449136,梓官蚵寮,特約
高雄市楠梓區德賢路548號1樓,120.3013478,22.7261309,楠梓德賢,特約
高雄市楠梓區後昌路152號1樓,120.310009,22.71769,楠梓後勁,特約
高雄市楠梓區軍校路993號,120.2915326,22.7124873,楠梓軍校,特約
高雄市楠梓區後昌路759號,120.2962304,22.710012,楠梓後昌,特約
高雄市大樹區久堂路170號1樓,120.4168738,22.6579357,大樹久堂,特約
高雄市仁武區仁雄路6之5號1樓,120.3540664,22.6810055,仁武八卦寮,特約
高雄市鳥松區學堂路32號1樓,120.3899105,22.6584395,鳥松學堂,特約
高雄市仁武區仁雄路105號1樓,120.3410451,22.6766586,仁武仁雄,特約
高雄市左營區重和路15號,120.3117746,22.6829174,左營重和,特約
高雄市左營區華夏路1106號1樓,120.3080949,22.6834583,左營華夏,特約
