address,code,name,storeType
台北市松山區民生東路五段206號,A01,民生服務中心,直營服務中心
台北市松山區南京東路五段135號,A01,南京東服務中心,直營服務中心
台北市松山區民生東路4段69號,A01,台北敦北服務中心,直營服務中心
台北市松山區南京東路4段11號,A01,台北小巨蛋服務中心,直營服務中心
台北市松山區復興南路一段7號,A01,復興服務中心,直營服務中心
台北市松山區敦化北路340之9號,A01,松山機場服務中心,直營服務中心
台北市松山區八德路四段676號,A01,台北饒河特約服務中心,特約服務中心
台北市松山區民生東路五段124之2號,A01,台北民生東特約服務中心,特約服務中心
台北市松山區八德路三段135號,A01,台北八德特約服務中心,特約服務中心
台北市松山區民權東路三段132號,A01,台北民權特約服務中心,特約服務中心
台北市中正區市民大道三段2號,A03,台北三創服務中心,直營服務中心
台北市仁愛路一段42號,A03,台北南區服務中心,直營服務中心
台北市大安區忠孝東路三段214號,A02,台北忠孝服務中心,直營服務中心
台北市大安區通化街177號,A02,台北通化服務中心,直營服務中心
台北市萬華區昆明街126號,A05,西門町服務中心,直營服務中心
台北市萬華區萬大路465號,A05,台北萬大服務中心,直營服務中心
台北市博愛路168號,A03,博愛服務中心,直營服務中心
台北市濟南路一段1號2樓,A03,立法院服務中心,直營服務中心
台北市中正區公園路18號,A03,公園服務中心,直營服務中心
台北市中正區羅斯福路四段76號,A03,公館服務中心,直營服務中心
台北市中正區羅斯褔路三段252號,A03,台北公館特約服務中心,特約服務中心
台北巿中正區南陽街1-3號1樓,A03,台北南陽特約服務中心,特約服務中心
台北市大安區和平東路1段182之2號,A02,台北師大服務中心,直營服務中心
台北市敦化南路二段162號,A02,敦南服務中心,直營服務中心
台北市信義路四段89之1號,A02,大安服務中心,直營服務中心
台北市大安區愛國東路35-1號,A02,東門服務中心,直營服務中心
台北市西藏路125巷20號,A05,南機場服務中心,直營服務中心
台北市萬華區萬大路260號,A05,萬華萬大特約服務中心,特約服務中心
台北市萬華區西寧南路36號1樓51-54室,A05,台北西門特約服務中心,特約服務中心
台北市萬華區桂林路103號,A05,台北萬華特約服務中心,特約服務中心
台北市中正區南昌路一段134號,A03,台北南昌特約服務中心,特約服務中心
台北市大同區民生西路193號,A09,寧夏夜市服務中心,直營服務中心
台北市大同區延平北路三段68號,A09,大橋頭服務中心,直營服務中心
台北市敦化南路一段158號,A02,頂好服務中心,直營服務中心
台北市大安區師大路106號,A02,台北師大特約服務中心,特約服務中心
台北市大安區延吉街120號,A02,台北延吉特約服務中心,特約服務中心
台北市大安區通化街100號,A02,台北通化特約服務中心,特約服務中心
台北市大安區永康街11之1號,A02,台北永康特約服務中心,特約服務中心
台北市中山區北安路662號,A10,大直服務中心,直營服務中心
台北市承德路三段249號,A09,大龍峒服務中心,直營服務中心
台北市大同區民生西路75號,A09,台北雙連特約服務中心,特約服務中心
台北市大安區信義路三段202號,A02,台北信義特約服務中心,特約服務中心
台北市文山區景文街60號,A11,景文服務中心,直營服務中心
台北市南港路一段356號,A13,南港服務中心,直營服務中心
台北市南港區忠孝東路五段998號,A13,台北後山埤特約服務中心,特約服務中心
台北市中山區松江路67之1號,A10,台北松江服務中心,直營服務中心
