address,city,county,lat,lng,name,storeType
桃園市中壢區興南里新生路150號,桃園市,中壢區,121.22308350000003,24.9607296,中壢南區加盟門市,加盟店
桃園市中壢區大同路130號,桃園市,中壢區,121.22195290000002,24.9571009,中壢大同加盟門市,加盟店
桃園市中壢區中山東路四段126號,桃園市,中壢區,121.25728959999992,24.9355272,中壢中山東加盟門市,加盟店
桃園市中壢區忠孝路115號,桃園市,中壢區,121.25525900000002,24.97525,內壢忠孝加盟門市,加盟店
桃園市中壢區健行路179號,桃園市,中壢區,121.22805629999993,24.9484733,中壢健行加盟門市,加盟店
桃園市中壢區中北路二段458號1樓,桃園市,中壢區,121.23374519999993,24.9547425,中壢中北加盟門市,加盟店
桃園市中壢區中山路145號,桃園市,中壢區,121.22422959999994,24.9558003,中壢中山加盟門市,加盟店
桃園市平鎮區環南路2號1樓,桃園市,中壢區,121.20670339999992,24.9571955,中壢環南加盟門市,加盟店
桃園市中壢區幸福里福州二街466號,桃園市,中壢區,121.23262210000007,24.9678832,中壢中福加盟門市,加盟店
桃園市中壢區龍東路305號,桃園市,中壢區,121.25461300000006,24.9316809,中壢龍東直營門市,直營店
桃園市中壢區中正路351號,桃園市,中壢區,121.21656400000006,24.9552559,中壢中正加盟門市,加盟店
桃園市中壢區環中東路252號,桃園市,中壢區,121.25585899999999,24.9543589,內壢環中東二加盟門市,加盟店
桃園市中壢區中山東路三段198號,桃園市,中壢區,121.24977899999999,24.9427485,中壢中山東二加盟門市,加盟店
桃園市中壢區文化路354號,桃園市,中壢區,121.25100550000002,24.9790779,內壢文化加盟門市,加盟店
桃園市中壢區環中東路9號,桃園市,中壢區,121.26054850000003,24.9670313,內壢環中東加盟門市,加盟店
桃園市中壢區中華路一段294號,桃園市,中壢區,121.25810709999996,24.9730075,內壢站前加盟門市,加盟店
桃園市八德區介壽路一段884號,桃園市,八德區,121.29938199999992,24.9600609,桃園八德直營門市,直營店
桃園市八德區介壽路一段784號,桃園市,八德區,121.29991849999999,24.9630488,八德介壽二加盟門市,加盟店
桃園市八德區介壽路二段1188號,桃園市,八德區,121.29719869999997,24.9312422,八德更寮腳加盟門市,加盟店
桃園市八德區廣福路166號,桃園市,八德區,121.29545110000004,24.9597585,八德廣福加盟門市,加盟店
桃園市八德區大明里桃鶯路70號,桃園市,八德區,121.32731960000001,24.9706727,八德桃鶯加盟門市,加盟店
桃園市八德區介壽路一段999號,桃園市,八德區,121.29963399999997,24.9585459,八德介壽加盟門市,加盟店
桃園市新屋區中山路336號,桃園市,新屋區,121.10316650000004,24.9728066,新屋中山加盟門市,加盟店
彰化縣花壇鄉花壇村中正路292號1樓,彰化縣,花壇鄉,120.53988600000002,24.025947,花壇中正加盟門市,加盟店
彰化縣鹿港鎮中正路443號,彰化縣,鹿港鎮,120.43792899999994,24.0601047,鹿港中正直營門市,直營店
彰化縣鹿港鎮民權路163號,彰化縣,鹿港鎮,120.43526440000005,24.0566476,鹿港民權加盟門市,加盟店
彰化縣鹿港鎮中山路166號,彰化縣,鹿港鎮,120.43567400000006,24.0541719,鹿港中山直營門市,直營店
彰化縣彰化市光復路151號,彰化縣,彰化市,120.53976469999998,24.0806307,彰化光復加盟門市,加盟店
