address,city,county,lonlat,name,storeType
公園路52號1樓,臺南市,中西區,"120.20570450000002,22.9949196",臺南體驗店,直營
西門路二段369號,臺南市,中西區,"120.20011090000003,22.9981855",臺南西門店,直營
長榮路一段194號1-2樓,臺南市,東區,"120.21833700000002,22.9849358",臺南長榮店,直營
仁和路108-3號,臺南市,東區,"120.235959,22.9715",臺南仁和加盟服務中心,加盟
台南市東區崇德路635號,臺南市,東區,"120.235254,23.005314",臺南崇德加盟服務中心,加盟
東寧路440號,臺南市,東區,"120.229135,22.98944",東寧後甲加盟服務中心,加盟
金華路二段165號,臺南市,南區,"120.191191,22.981142",金華健康加盟服務中心,加盟
明亮里金華路一段452號1樓,臺南市,南區,"120.190789,22.972314",臺南金華加盟服務中心,加盟
文賢路1012號,臺南市,北區,"120.19389790000002,23.0135745",臺南文賢店,直營
延平里公園路832號1樓,臺南市,北區,"120.2118835,23.0130333",臺南公園加盟服務中心,加盟
開元路553號1樓,臺南市,北區,"120.2259316,23.0110774",臺南開元加盟服務中心,加盟
怡平里華平路682號一樓,臺南市,安平區,"120.176021,22.9964791",臺南華平加盟服務中心,加盟
海佃路一段274號1樓,臺南市,安南區,"120.191332,23.026179",臺南海佃加盟服務中心,加盟
中正南路756號1樓,臺南市,永康區,"120.23645009999996,23.04043",臺南鹽行店,直營
中山南路290號,臺南市,永康區,"120.23508579999998,23.0147991",臺南永康店,直營
中山南路1024號1樓,臺南市,永康區,"120.2552154,23.025123",永康中山南加盟服務中心,加盟
中華路264號1樓,臺南市,永康區,"120.235513,23.005893",永康中華二加盟服務中心,加盟
後市里中山路二段160號1樓,臺南市,歸仁區,"120.2905643,22.9672279",歸仁中山二加盟服務中心,加盟
中山路551號,臺南市,歸仁區,"120.2753933,22.9689859",歸仁中山加盟服務中心,加盟
中山路271號,臺南市,新化區,"120.3074383,23.0358395",新化中山加盟服務中心,加盟
中山路373-375號,臺南市,仁德區,"120.25762929999996,22.9708824",臺南仁德店,直營
中山路130號1樓,臺南市,麻豆區,"120.2434469,23.1841056",麻豆中山加盟服務中心,加盟
延平路272號1樓,臺南市,佳里區,"120.17857,23.1601519",佳里延平加盟服務中心,加盟
安西里光復路341號,臺南市,佳里區,"120.1746663,23.1634963",佳里光復加盟服務中心,加盟
三民路95號1樓,臺南市,新營區,"120.3127717,23.306831",新營三民加盟服務中心,加盟
王公里中正路34號,臺南市,新營區,"120.316702,23.3125687",新營中正加盟服務中心,加盟
中山路179號1樓,臺南市,新營區,"120.315446,23.303371",新營中山加盟服務中心,加盟
水仙里中正路64號,臺南市,鹽水區,"120.2674944,23.3197181",鹽水中正加盟服務中心,加盟
中山路210號,臺南市,善化區,"120.299479,23.132604",善化中山加盟服務中心,加盟
仁愛街244號,臺南市,新市區,"120.2935118,23.0757554",新市仁愛加盟服務中心,加盟
林森一路227號2樓,高雄市,新興區,"120.3047479,22.6337394",高雄林森加盟服務中心,加盟
建國一路171號,高雄市,苓雅區,"120.32663439999999,22.6327086",高雄建國店,直營
青年一路137號1樓,高雄市,苓雅區,"120.309569,22.622356",高雄青年加盟服務中心,加盟
裕誠路1037號,高雄市,鼓山區,"120.30140690000007,22.6658135",高雄裕誠店,直營
華榮路305號1樓,高雄市,鼓山區,"120.2964569,22.6665465",高雄華榮加盟服務中心,加盟
瑞和街290號1樓,高雄市,前鎮區,"120.32570869999995,22.605236",高雄瑞隆店,直營
三多三路175號,高雄市,前鎮區,"120.30818599999998,22.6150239",高雄三多店,直營
草衙二路503號,高雄市,前鎮區,"120.322823,22.581033",高雄草衙加盟服務中心,加盟
一心二路50號,高雄市,前鎮區,"120.311474,22.611089",高雄一心加盟服務中心,加盟
大昌二路476號,高雄市,三民區,"120.33124650000002,22.6508428",高雄大昌店,直營
覺民路224號,高雄市,三民區,"120.3394939,22.639686",高雄覺民加盟服務中心,加盟
大昌二路121-9號1樓,高雄市,三民區,"120.3319387,22.6431259",三民大昌加盟服務中心,加盟
九如一路960號1樓,高雄市,三民區,"120.316014,22.640518",高雄九如一加盟服務中心,加盟
九如2路583號,高雄市,三民區,"120.296363,22.641515",高雄九如加盟服務中心,加盟
天祥一路207號,高雄市,三民區,"120.317804,22.667805",三民天祥加盟服務中心,加盟
自由一路121號,高雄市,三民區,"120.308493,22.644205",十全自由加盟服務中心,加盟
建工路567號,高雄市,三民區,"120.320845,22.648441",三民建工加盟服務中心,加盟
